Program	real	user	sys
AddNum_pakcs	0.34	0.24	0.01
AddNum_pakcs	0.24	0.23	0.00
AddNum_pakcs	0.23	0.22	0.01
AddNum5_pakcs	0.23	0.22	0.00
AddNum5_pakcs	0.23	0.22	0.00
AddNum5_pakcs	0.23	0.21	0.01
NRev_pakcs	0.80	0.79	0.00
NRev_pakcs	0.80	0.79	0.00
NRev_pakcs	0.82	0.82	0.00
PermSort_pakcs	1.24	1.22	0.01
PermSort_pakcs	1.23	1.23	0.00
PermSort_pakcs	1.24	1.23	0.00
PermSortPeano_pakcs	2.19	2.18	0.00
PermSortPeano_pakcs	2.18	2.17	0.00
PermSortPeano_pakcs	2.23	2.20	0.02
PrimesHO_pakcs	10.48	10.47	0.00
PrimesHO_pakcs	10.33	10.32	0.01
PrimesHO_pakcs	10.53	10.53	0.00
Queens_pakcs	18.75	18.71	0.02
Queens_pakcs	17.39	17.39	0.00
Queens_pakcs	17.30	17.29	0.00
ReverseHO_pakcs	3.11	3.05	0.05
ReverseHO_pakcs	3.08	3.03	0.05
ReverseHO_pakcs	3.11	3.05	0.06
Select_pakcs	0.26	0.24	0.01
Select_pakcs	0.26	0.25	0.00
Select_pakcs	0.25	0.23	0.01
SortPrimes_pakcs	10.08	10.07	0.00
SortPrimes_pakcs	9.94	9.93	0.00
SortPrimes_pakcs	9.94	9.92	0.01
TakInt_pakcs	3.96	3.95	0.01
TakInt_pakcs	3.87	3.86	0.01
TakInt_pakcs	3.82	3.81	0.01
TakPeano_pakcs	5.61	5.59	0.01
TakPeano_pakcs	5.74	5.73	0.00
TakPeano_pakcs	5.57	5.57	0.00
YesSharingAcrossND_pakcs	3.50	3.48	0.02
YesSharingAcrossND_pakcs	3.44	3.43	0.00
YesSharingAcrossND_pakcs	3.41	3.40	0.00
NoSharingAcrossND_pakcs	3.48	3.46	0.00
NoSharingAcrossND_pakcs	3.42	3.41	0.01
NoSharingAcrossND_pakcs	3.43	3.43	0.00
AddNum_kics2	13.66	13.64	0.02
AddNum_kics2	13.58	13.57	0.01
AddNum_kics2	13.55	13.53	0.02
AddNum5_kics2	4.46	4.44	0.00
AddNum5_kics2	4.51	4.50	0.00
AddNum5_kics2	4.47	4.45	0.01
NRev_kics2	0.12	0.10	0.00
NRev_kics2	0.13	0.11	0.00
NRev_kics2	0.12	0.11	0.00
PermSort_kics2	2.62	2.58	0.03
PermSort_kics2	2.61	2.59	0.01
PermSort_kics2	2.60	2.57	0.03
PermSortPeano_kics2	2.71	2.68	0.02
PermSortPeano_kics2	2.72	2.70	0.02
PermSortPeano_kics2	2.70	2.66	0.04
PrimesHO_kics2	0.18	0.16	0.00
PrimesHO_kics2	0.18	0.17	0.00
PrimesHO_kics2	0.18	0.16	0.00
Queens_kics2	0.38	0.37	0.00
Queens_kics2	0.38	0.37	0.00
Queens_kics2	0.38	0.38	0.00
ReverseHO_kics2	0.12	0.08	0.03
ReverseHO_kics2	0.12	0.09	0.02
ReverseHO_kics2	0.12	0.09	0.02
Select_kics2	5.29	4.42	0.86
Select_kics2	5.29	4.40	0.88
Select_kics2	5.29	4.37	0.92
SortPrimes_kics2	0.02	0.01	0.00
SortPrimes_kics2	0.02	0.01	0.00
SortPrimes_kics2	0.02	0.01	0.00
TakInt_kics2	0.08	0.06	0.00
TakInt_kics2	0.08	0.07	0.00
TakInt_kics2	0.08	0.06	0.00
TakPeano_kics2	0.13	0.12	0.00
TakPeano_kics2	0.13	0.12	0.00
TakPeano_kics2	0.13	0.12	0.00
YesSharingAcrossND_kics2	0.04	0.02	0.00
YesSharingAcrossND_kics2	0.04	0.02	0.00
YesSharingAcrossND_kics2	0.04	0.03	0.00
NoSharingAcrossND_kics2	0.07	0.05	0.00
NoSharingAcrossND_kics2	0.06	0.05	0.00
NoSharingAcrossND_kics2	0.06	0.05	0.00
AddNum_c2g	0.61	3.54	0.06
AddNum_c2g	0.50	3.47	0.05
AddNum_c2g	0.54	3.44	0.05
AddNum5_c2g	0.39	1.33	0.04
AddNum5_c2g	0.38	1.27	0.05
AddNum5_c2g	0.38	1.32	0.06
NRev_c2g	1.09	1.47	0.01
NRev_c2g	1.08	1.45	0.01
NRev_c2g	1.07	1.44	0.01
PermSort_c2g	5.74	14.18	0.39
PermSort_c2g	5.78	14.35	0.34
PermSort_c2g	5.73	13.95	0.44
PermSortPeano_c2g	6.20	15.86	0.48
PermSortPeano_c2g	6.07	15.53	0.42
PermSortPeano_c2g	6.09	15.63	0.48
PrimesHO_c2g	13.85	19.03	0.06
PrimesHO_c2g	13.87	19.01	0.05
PrimesHO_c2g	13.93	19.14	0.04
Queens_c2g	23.94	30.12	0.04
Queens_c2g	23.96	30.22	0.04
Queens_c2g	23.92	30.27	0.07
ReverseHO_c2g	1.92	2.64	0.16
ReverseHO_c2g	1.95	2.66	0.17
ReverseHO_c2g	2.00	2.71	0.24
Select_c2g	0.02	0.13	0.00
Select_c2g	0.02	0.11	0.00
Select_c2g	0.02	0.11	0.00
SortPrimes_c2g	0.73	4.46	0.09
SortPrimes_c2g	0.74	4.61	0.04
SortPrimes_c2g	0.73	4.39	0.05
TakInt_c2g	4.91	6.10	0.02
TakInt_c2g	4.93	6.12	0.00
TakInt_c2g	4.94	6.19	0.02
TakPeano_c2g	4.87	8.72	0.23
TakPeano_c2g	4.89	8.77	0.25
TakPeano_c2g	4.87	8.79	0.25
YesSharingAcrossND_c2g	3.93	9.67	0.04
YesSharingAcrossND_c2g	3.93	9.71	0.03
YesSharingAcrossND_c2g	3.92	9.66	0.04
NoSharingAcrossND_c2g	2.71	6.88	0.03
NoSharingAcrossND_c2g	2.69	6.86	0.03
NoSharingAcrossND_c2g	2.82	7.10	0.01
AddNum_kmcc	3.49	3.40	0.08
AddNum_kmcc	3.51	3.40	0.10
AddNum_kmcc	3.49	3.41	0.07
AddNum5_kmcc	2.55	2.49	0.04
AddNum5_kmcc	2.54	2.50	0.04
AddNum5_kmcc	2.52	2.50	0.02
NRev_kmcc	0.12	0.11	0.00
NRev_kmcc	0.12	0.10	0.00
NRev_kmcc	0.12	0.10	0.00
PermSort_kmcc	10.57	8.06	2.50
PermSort_kmcc	10.48	7.90	2.58
PermSort_kmcc	10.52	7.90	2.60
PermSortPeano_kmcc	8.85	6.18	2.67
PermSortPeano_kmcc	8.83	6.24	2.58
PermSortPeano_kmcc	8.83	6.31	2.51
PrimesHO_kmcc	0.08	0.07	0.00
PrimesHO_kmcc	0.08	0.07	0.00
PrimesHO_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
ReverseHO_kmcc	0.17	0.15	0.01
ReverseHO_kmcc	0.17	0.14	0.03
